Fall reset||(38.50, -15.00, 0.00)|(173.00, 4.00, 0.20)|order=4
V6 visual / material|V6 art fill_3|(36.50, 0.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 0.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 0.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 0.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 1.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 2.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 3.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 4.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(12.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(13.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(14.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(15.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 5.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(12.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(13.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(14.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(15.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 6.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(12.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(13.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(14.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(15.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 7.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(12.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(13.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(14.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(15.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(31.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(32.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(33.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(34.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(35.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(36.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(37.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(38.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(39.50, 8.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(12.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(13.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(14.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(15.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(16.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(17.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(18.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(19.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(20.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(21.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(22.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(23.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(24.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(25.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(26.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(27.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(28.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(29.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
V6 visual / material|V6 art fill_3|(30.50, 9.50, 0.00)|(1.00, 1.00, 0.20)|order=0
